video_frame,rotulo,motivo
v100_f12,mask,Falta + Topo da C2
v100_f15,mask,Vértebra Faltando
v102_f42,mask,Vértebra Faltando
v103_f157,mask,Vértebra Faltando
v103_f231,mask,Vértebra Faltando
v104_f150,mask,Vértebra Faltando
v104_f151,mask,Vértebra Faltando
v104_f152,mask,Vértebra Faltando
v105_f115,mask,Topo da C2
v105_f2,mask,C2 Incorreta
v106_f5,mask,Vértebra Faltando
v107_f150,mask,Topo C2 + Falta Vértebra
v108_f215,mask,Vértebra Faltando
v109_f16,mask,Falta + Topo da C2
v109_f71,mask,Vértebra Faltando
v109_f72,mask,Vértebra Faltando
v10_f23,mask,C2 + C3 Erradas
v10_f24,mask,C2 e C3 Incorretas
v11_f120,mask,Tudo Errado
v123_f58,mask,Topo C2
v126_f18,mask,Máscara Não Rotulada
v127_f41,mask,Topo C2
v127_f62,mask,Falta + Topo C2
v127_f63,mask,Topo C2
v128_f134,mask,Vértebra Faltando
v128_f169,mask,Vértebra Faltando
v128_f235,mask,Vértebra Faltando
v129_f199,mask,C2 Incorreta
v130_f123,mask,Topo da C2
v133_f37,mask,Máscara Não Rotulada
v134_f124,mask,C5 Incorreta
v135_f164,mask,C2 Topo + Falta Vértebra
v135_f38,mask,Vértebra Faltando
v139_f114,mask,Vértebra Faltando
v140_f106,mask,Vértebra Faltando
v140_f12,mask,Vértebra Faltando
v141_f187,mask,Máscara Não Rotulada
v141_f204,mask,Máscara Não Rotulada
v141_f74,mask,Vértebra Faltando
v142_f181,mask,Vértebra Faltando
v145_f163,mask,Vértebra Faltando
v145_f234,mask,Topo da C2
v146_f160,mask,Topo C2 + Falta
v146_f255,mask,Topo C2 + Falta
v146_f69,mask,Vértebra Faltando
v148_f150,mask,Topo C2
v14_f130,mask,C2 marcada na C1. Eliminar a primeira vértebra e remarcar a C2
v152_f85,mask,Borda a mais na C2.  Falta vértebra.
v153_f83,mask,Topo C2 + Falta + Borda Direita C6 e C7
v154_f188,mask,C2 + Falta
v155_f117,mask,Máscara Não Rotulada
v155_f206,mask,Máscara Não Rotulada
v155_f234,mask,C2 + Falta
v157_f187,mask,Topo C2 + Base C6
v158_f8,mask,Topo da C2 + Falta
v15_f114,mask,Topo Direito C2 + Falta Vértebra
