video_frame,rotulo,motivo
v11_f12,point,nan
v122_f227,point,C4 Incorreta
v122_f25,point,C4 Incorreta
v122_f250,point,C4 Incorreta
v122_f99,point,C4 Incorreta
v123_f101,point,C4 Incorreta
v123_f157,point,C4 Incorreta
v125_f63,point,C4 Incorreta
v126_f100,point,C4 Incorreta
v128_f236,point,nan
v133_f10,point,C4 Incorreta
v133_f38,point,nan
v13_f10,point,nan
v147_f16,point,C4 Incorreta
v148_f11,point,C4 Incorreta
v149_f90,point,C4 Incorreta
v150_f45,point,nan
v154_f187,point,C4 Incorreta
v154_f233,point,C4 Incorreta
v162_f114,point,C4 Incorreta
v16_f122,point,Tudo Errado
v171_f121,point,C2 Incorreta
v176_f79,point,C2 Incorreta
v178_f244,point,C2 Incorreta
v179_f184,point,C2 Incorreta
v179_f53,point,C2 Incorreta
v17_f2,point,nan
v182_f160,point,C2 Incorreta
v182_f161,point,C2 Incorreta
v182_f203,point,C2 Incorreta
v182_f244,point,C2 Incorreta
v190_f84,point,nan
v204_f70,point,nan
v205_f136,point,nan
v208_f147,point,nan
v21_f12,point,nan
v225_f212,point,C4 Incorreta
v228_f3,point,C4 Incorreta
v229_f36,point,C4 Incorreta
v232_f46,point,Tudo Errado
v236_f11,point,C4 Incorreta
v23_f152,point,Tudo Errado
v26_f45,point,C4 Incorreta
v29_f22,point,C4 Incorreta
v29_f26,point,C2 Incorreta
v29_f60,point,C4 Incorreta
v33_f25,point,C2 Incorreta
v33_f40,point,Tudo Errado
v34_f62,point,Tudo Errado
v35_f20,point,Ponto Não Rotulado
v37_f172,point,Tudo Errado
v39_f1,point,C4 Incorreta
v3_f17,point,C4 Incorreta
v42_f29,point,C4 Incorreta
v42_f89,point,C2 Incorreta
v45_f12,point,C2 Incorreta
v45_f15,point,C4 Incorreta
v51_f45,point,Ponto Não Rotulado
v51_f58,point,C2 Incorreta
v54_f94,point,C4 Incorreta
v55_f46,point,Tudo Errado
v57_f85,point,C4 Incorreta
v58_f14,point,C4 Incorreta
v58_f76,point,C4 Incorreta
v66_f166,point,Tudo Errado
v66_f167,point,C2 Incorreta
v68_f206,point,C4 Incorreta
v70_f117,point,C4 Incorreta
v72_f95,point,C4 Incorreta
v73_f40,point,Ponto Não Rotulado
v74_f66,point,C4 Incorreta
v75_f215,point,C4 Incorreta
v75_f8,point,C4 Incorreta
v76_f24,point,C4 Incorreta
v77_f89,point,Ponto Não Rotulado
v78_f147,point,C4 Incorreta
v79_f251,point,Tudo Errado
v7_f145,point,Tudo Errado
v81_f60,point,C4 Incorreta
v83_f29,point,Tudo Errado
v85_f92,point,C4 Incorreta
v86_f155,point,C4 Incorreta
v88_f136,point,Tudo Errado
v88_f148,point,C2 Incorreta
v88_f81,point,Tudo Errado
v89_f69,point,C4 Incorreta
v93_f47,point,C4 Incorreta
v97_f77,point,C4 Incorreta
v98_f113,point,C4 Incorreta
v98_f29,point,C4 Incorreta
