video_frame,rotulo,motivo
v101_f74,point,nan
v108_f55,point,nan
v109_f71,point,nan
v112_f106,point,nan
v112_f107,point,nan
v113_f107,point,nan
v115_f36,point,nan
v118_f239,point,nan
v119_f61,point,nan
v121_f241,point,nan
v121_f38,point,C4 Incorreta
v122_f25,point,C4 Incorreta
v128_f235,point,nan
v12_f90,point,nan
v141_f187,point,C4 Incorreta
v143_f181,point,nan
v143_f186,point,nan
v149_f90,point,Tudo Errado
v152_f246,point,nan
v154_f135,point,C4 Incorreta
v156_f145,point,C4 Incorreta
v15_f114,point,nan
v165_f131,point,Tudo Errado
v16_f122,point,Tudo Errado
v16_f38,point,Tudo Errado
v171_f110,point,nan
v176_f79,point,C2 Incorreta
v177_f124,point,Tudo Errado
v179_f143,point,nan
v179_f185,point,C2 Incorreta
v181_f223,point,C2 Incorreta
v182_f161,point,nan
v182_f244,point,nan
v185_f115,point,nan
v18_f182,point,C2 Incorreta
v190_f163,point,C2 Incorreta
v194_f91,point,nan
v19_f16,point,C4 Incorreta
v1_f83,point,nan
v202_f31,point,nan
v205_f138,point,nan
v205_f221,point,nan
v209_f27,point,nan
v216_f1,point,nan
v221_f35,point,nan
v221_f41,point,C4 Incorreta
v222_f20,point,C2 Incorreta
v225_f198,point,C4 Incorreta
v226_f12,point,Tudo Errado
v226_f192,point,Tudo Errado
v232_f142,point,Tudo Errado
v232_f46,point,C4 Incorreta
v233_f113,point,C4 Incorreta
v233_f149,point,C4 Incorreta
v24_f8,point,C4 Incorreta
v25_f29,point,C4 Incorreta
v25_f76,point,C4 Incorreta
v2_f150,point,C4 Incorreta
v2_f88,point,C2 Incorreta
v31_f43,point,C4 Incorreta
v32_f28,point,C2 Incorreta
v32_f6,point,Tudo Errado
v33_f24,point,Tudo Errado
v36_f23,point,C4 Incorreta
v40_f170,point,C4 Incorreta
v40_f93,point,Tudo Errado
v41_f215,point,Tudo Errado
v43_f72,point,C4 Incorreta
v44_f216,point,C4 Incorreta
v47_f125,point,C2 Incorreta
v49_f55,point,Tudo Errado
v49_f59,point,C4 Incorreta
v4_f45,point,Tudo Errado
v4_f67,point,Tudo Errado
v51_f136,point,C4 Incorreta
v52_f136,point,C4 Incorreta
v52_f38,point,Tudo Errado
v52_f70,point,Tudo Errado
v53_f73,point,C2 Incorreta
v54_f128,point,C2 Incorreta
v55_f89,point,Tudo Errado
v56_f20,point,C4 Incorreta
v56_f99,point,Tudo Errado
v58_f76,point,C4 Incorreta
v63_f78,point,Tudo Errado
v64_f17,point,Tudo Errado
v65_f155,point,Tudo Errado
v65_f92,point,Tudo Errado
v66_f111,point,Tudo Errado
v66_f161,point,C2 Incorreta
v68_f71,point,C4 Incorreta
v69_f124,point,C2 Incorreta
v72_f41,point,C2 Incorreta
v73_f1,point,C2 Incorreta
v73_f29,point,Tudo Errado
v75_f1,point,C4 Incorreta
v76_f14,point,Tudo Errado
v76_f63,point,C4 Incorreta
v78_f128,point,C4 Incorreta
v78_f92,point,C2 Incorreta
v79_f102,point,Tudo Errado
v7_f46,point,C4 Incorreta
v7_f88,point,Tudo Errado
v81_f47,point,C4 Incorreta
v81_f7,point,C2 Incorreta
v84_f221,point,Tudo Errado
v85_f36,point,C4 Incorreta
v86_f111,point,C4 Incorreta
v88_f136,point,C2 Incorreta
v88_f148,point,Tudo Errado
v88_f72,point,Tudo Errado
v89_f1,point,Ponto Não Rotulado
v89_f27,point,Tudo Errado
v8_f40,point,C4 Incorreta
v90_f54,point,C4 Incorreta
v90_f76,point,C4 Incorreta
v91_f29,point,C4 Incorreta
v92_f114,point,C4 Incorreta
v92_f124,point,Tudo Errado
v92_f23,point,C4 Incorreta
v93_f70,point,C4 Incorreta
v97_f106,point,C2 Incorreta
v97_f77,point,C4 Incorreta
v98_f113,point,C4 Incorreta
v98_f29,point,C4 Incorreta
