video_frame,rotulo,motivo
v115_f150,point,nan
v117_f217,point,nan
v118_f200,point,nan
v11_f41,point,nan
v122_f126,point,C4 Incorreta
v122_f250,point,C4 Incorreta
v122_f99,point,C4 Incorreta
v123_f157,point,C4 Incorreta
v123_f31,point,C4 Incorreta
v123_f58,point,C4 Incorreta
v125_f113,point,C4 Incorreta
v125_f197,point,C4 Incorreta
v126_f100,point,C4 Incorreta
v127_f63,point,C4 Incorreta
v127_f77,point,C4 Incorreta
v128_f169,point,nan
v128_f237,point,C4 Incorreta
v129_f163,point,nan
v131_f7,point,nan
v133_f10,point,C4 Incorreta
v13_f100,point,nan
v13_f150,point,nan
v152_f203,point,nan
v152_f85,point,C4 Incorreta
v152_f95,point,C4 Incorreta
v153_f72,point,C4 Incorreta
v153_f82,point,nan
v153_f83,point,C4 Incorreta
v154_f188,point,C4 Incorreta
v154_f233,point,C4 Incorreta
v155_f118,point,C4 Incorreta
v155_f206,point,nan
v156_f209,point,C4 Incorreta
v156_f227,point,C4 Incorreta
v156_f228,point,C4 Incorreta
v158_f7,point,C4 Incorreta
v159_f242,point,nan
v15_f27,point,nan
v160_f232,point,C4 Incorreta
v167_f211,point,C4 Incorreta
v177_f124,point,Tudo Errado
v177_f32,point,C2 Incorreta
v178_f136,point,C2 Incorreta
v178_f137,point,C2 Incorreta
v180_f143,point,C2 Incorreta
v181_f197,point,C4 Incorreta
v181_f223,point,C2 Incorreta
v181_f255,point,C2 Incorreta
v182_f203,point,nan
v186_f190,point,C4 Incorreta
v186_f24,point,C4 Incorreta
v188_f158,point,nan
v193_f58,point,nan
v195_f99,point,C4 Incorreta
v196_f37,point,C4 Incorreta
v196_f61,point,C4 Incorreta
v199_f108,point,C4 Incorreta
v199_f111,point,C4 Incorreta
v201_f95,point,nan
v206_f1,point,nan
v208_f95,point,nan
v210_f43,point,nan
v222_f229,point,C2 Incorreta
v230_f15,point,C4 Incorreta
v231_f63,point,C2 Incorreta
v232_f142,point,Tudo Errado
v232_f65,point,C4 Incorreta
v233_f214,point,nan
v234_f12,point,C2 Incorreta
v235_f6,point,C4 Incorreta
v23_f134,point,C4 Incorreta
v23_f78,point,C4 Incorreta
v24_f8,point,C4 Incorreta
v24_f9,point,C4 Incorreta
v25_f12,point,C4 Incorreta
v27_f245,point,C4 Incorreta
v27_f68,point,C4 Incorreta
v29_f60,point,C4 Incorreta
v30_f113,point,C4 Incorreta
v32_f41,point,C4 Incorreta
v36_f10,point,C4 Incorreta
v36_f199,point,C4 Incorreta
v36_f20,point,C4 Incorreta
v36_f23,point,C4 Incorreta
v37_f158,point,C2 Incorreta
v3_f17,point,C4 Incorreta
v41_f215,point,C4 Incorreta
v41_f93,point,C4 Incorreta
v42_f100,point,C4 Incorreta
v43_f119,point,C4 Incorreta
v45_f11,point,C4 Incorreta
v45_f12,point,C2 Incorreta
v47_f120,point,C2 Incorreta
v47_f44,point,C4 Incorreta
v51_f45,point,C4 Incorreta
v51_f58,point,C4 Incorreta
v53_f73,point,C2 Incorreta
v54_f127,point,C4 Incorreta
v55_f48,point,C4 Incorreta
v58_f14,point,C4 Incorreta
v62_f64,point,C4 Incorreta
v63_f78,point,Tudo Errado
v70_f117,point,C4 Incorreta
v70_f137,point,C4 Incorreta
v72_f203,point,C4 Incorreta
v72_f95,point,C4 Incorreta
v75_f1,point,C2 Incorreta
v75_f136,point,C4 Incorreta
v75_f215,point,C4 Incorreta
v75_f8,point,C4 Incorreta
v77_f45,point,C4 Incorreta
v77_f51,point,C4 Incorreta
v78_f147,point,C4 Incorreta
v78_f213,point,C4 Incorreta
v79_f251,point,C4 Incorreta
v7_f46,point,C4 Incorreta
v7_f88,point,C4 Incorreta
v80_f88,point,C4 Incorreta
v81_f182,point,C4 Incorreta
v83_f29,point,C4 Incorreta
v85_f78,point,C4 Incorreta
v85_f92,point,C4 Incorreta
v86_f155,point,C4 Incorreta
v88_f72,point,Tudo Errado
v88_f81,point,C2 Incorreta
v89_f69,point,Tudo Errado
v90_f75,point,C4 Incorreta
v91_f29,point,C4 Incorreta
v92_f124,point,C4 Incorreta
v92_f23,point,C4 Incorreta
v92_f80,point,C4 Incorreta
v94_f203,point,C4 Incorreta
v98_f45,point,C4 Incorreta
v98_f85,point,C4 Incorreta
v99_f16,point,C4 Incorreta
v99_f7,point,C4 Incorreta
v9_f40,point,C2 Incorreta
