video_frame,rotulo,motivo
v104_f151,point,nan
v107_f122,point,nan
v10_f22,point,nan
v110_f56,point,nan
v113_f158,point,nan
v114_f12,point,nan
v114_f120,point,nan
v118_f190,point,nan
v119_f61,point,nan
v11_f41,point,nan
v127_f77,point,C4 Incorreta
v128_f237,point,C2 Incorreta
v150_f44,point,nan
v155_f234,point,C4 Incorreta
v156_f228,point,C4 Incorreta
v160_f232,point,C4 Incorreta
v161_f143,point,C4 Incorreta
v161_f184,point,C4 Incorreta
v168_f174,point,nan
v172_f15,point,nan
v172_f41,point,nan
v177_f106,point,C2 Incorreta
v17_f54,point,nan
v181_f197,point,C2 Incorreta
v188_f138,point,nan
v191_f137,point,nan
v197_f12,point,C4 Incorreta
v197_f25,point,nan
v203_f58,point,nan
v205_f129,point,nan
v215_f55,point,C2 Incorreta
v223_f24,point,Tudo Errado
v224_f72,point,nan
v225_f171,point,C2 Incorreta
v225_f212,point,C4 Incorreta
v225_f47,point,Tudo Errado
v227_f11,point,C4 Incorreta
v228_f93,point,nan
v229_f15,point,nan
v230_f172,point,nan
v234_f12,point,C2 Incorreta
v234_f15,point,C2 Incorreta
v234_f188,point,nan
v234_f51,point,C4 Incorreta
v235_f187,point,nan
v23_f152,point,Tudo Errado
v25_f7,point,Tudo Errado
v26_f45,point,C4 Incorreta
v27_f190,point,Tudo Errado
v2_f106,point,Tudo Errado
v2_f112,point,C4 Incorreta
v31_f50,point,Tudo Errado
v32_f28,point,C4 Incorreta
v32_f6,point,C4 Incorreta
v32_f65,point,Tudo Errado
v34_f124,point,C2 Incorreta
v36_f199,point,C4 Incorreta
v36_f20,point,C4 Incorreta
v37_f172,point,Tudo Errado
v39_f4,point,C2 Incorreta
v42_f88,point,Tudo Errado
v42_f89,point,C2 Incorreta
v45_f11,point,Tudo Errado
v46_f23,point,C4 Incorreta
v47_f50,point,Ponto Não Rotulado
v48_f39,point,Tudo Errado
v49_f55,point,C4 Incorreta
v49_f59,point,C4 Incorreta
v4_f45,point,Tudo Errado
v4_f46,point,Tudo Errado
v52_f37,point,Tudo Errado
v54_f60,point,Tudo Errado
v54_f94,point,C4 Incorreta
v55_f48,point,Tudo Errado
v56_f117,point,Tudo Errado
v57_f31,point,Ponto Não Rotulado
v57_f85,point,C2 Incorreta
v58_f3,point,Tudo Errado
v61_f143,point,Tudo Errado
v62_f64,point,C4 Incorreta
v62_f71,point,C4 Incorreta
v63_f109,point,Tudo Errado
v64_f75,point,Tudo Errado
v65_f151,point,Tudo Errado
v66_f166,point,Tudo Errado
v67_f89,point,Tudo Errado
v68_f206,point,Tudo Errado
v70_f6,point,Tudo Errado
v71_f118,point,Ponto Não Rotulado
v71_f163,point,Tudo Errado
v72_f203,point,Tudo Errado
v73_f1,point,C4 Incorreta
v73_f63,point,Tudo Errado
v74_f114,point,C2 Incorreta
v74_f42,point,C2 Incorreta
v74_f66,point,Tudo Errado
v76_f24,point,Tudo Errado
v76_f80,point,C4 Incorreta
v77_f51,point,Tudo Errado
v78_f213,point,C4 Incorreta
v79_f221,point,Tudo Errado
v80_f131,point,Tudo Errado
v81_f60,point,Tudo Errado
v82_f72,point,C4 Incorreta
v83_f3,point,C2 Incorreta
v84_f222,point,C2 Incorreta
v85_f78,point,Tudo Errado
v86_f2,point,C4 Incorreta
v89_f118,point,C4 Incorreta
v8_f77,point,Ponto Não Rotulado
v8_f93,point,C4 Incorreta
v90_f54,point,C4 Incorreta
v90_f75,point,C4 Incorreta
v90_f76,point,C4 Incorreta
v92_f80,point,Tudo Errado
v94_f124,point,Tudo Errado
v97_f106,point,C4 Incorreta
v97_f24,point,C4 Incorreta
v98_f45,point,Ponto Não Rotulado
